Time      O_EC               O_AC
0         0.00           100.00         
1         0.00           50.00          
2         0.00           50.00          
3         0.00           100.00         
4         0.00           150.00         
5         0.00           130.00         
6         0.00           230.00         
7         46.49          303.51         
8         0.00           550.00         
9         179.28         320.72         
10        307.63         317.37         
11        473.53         176.47         
12        348.38         151.62         
13        600.00         100.00         
14        497.56         102.44         
15        0.00           500.00         
16        285.29         264.71         
17        42.65          582.35         
18        335.29         264.71         
19        397.06         352.94         
20        211.76         588.24         
21        25.00          600.00         
22        159.09         340.91         
23        0.00           400.00         
