Time      O_EC               O_AC
0         210.00         0.00           
1         294.00         0.00           
2         4.66           149.34         
3         79.71          235.29         
4         124.51         225.49         
5         0.00           175.00         
6         348.02         50.98          
7         375.19         30.81          
8         328.28         91.72          
9         351.41         68.59          
10        364.14         55.86          
11        245.00         0.00           
12        151.18         58.82          
13        186.18         58.82          
14        210.00         0.00           
15        358.40         61.60          
16        241.63         17.37          
17        249.50         16.50          
18        98.68          300.32         
19        151.13         58.87          
20        175.00         0.00           
21        210.00         0.00           
22        400.00         20.00          
23        280.00         0.00           
