Time      MT        FC        CHP1      CHP2      PV        WT        
0         400.00    300.00    300.00    300.00    0.00      207.12    
1         400.00    300.00    0.00      0.00      0.00      208.64    
2         400.00    300.00    0.00      0.00      0.00      207.92    
3         400.00    300.00    0.00      0.00      0.00      198.56    
4         400.00    300.00    0.00      0.00      0.00      176.28    
5         400.00    300.00    0.00      0.00      0.56      144.97    
6         400.00    300.00    300.00    300.00    15.08     84.97     
7         400.00    300.00    257.98    300.00    53.72     77.82     
8         400.00    300.00    42.50     300.00    107.35    78.08     
9         400.00    300.00    300.00    300.00    154.98    67.41     
10        400.00    300.00    300.00    300.00    191.39    44.07     
11        400.00    300.00    300.00    300.00    214.82    29.29     
12        400.00    300.00    300.00    300.00    224.97    21.15     
13        400.00    300.00    300.00    300.00    222.61    18.38     
14        400.00    300.00    300.00    237.07    207.97    27.89     
15        400.00    300.00    0.00      300.00    180.96    49.28     
16        400.00    300.00    300.00    300.00    138.44    61.24     
17        400.00    300.00    300.00    300.00    86.18     78.11     
18        400.00    300.00    300.00    300.00    42.16     107.20    
19        400.00    300.00    300.00    300.00    10.91     156.84    
20        400.00    300.00    300.00    300.00    0.00      224.15    
21        400.00    300.00    300.00    300.00    0.00      279.17    
22        400.00    300.00    300.00    289.77    0.00      315.45    
23        400.00    300.00    300.00    190.00    0.00      288.26    
