Time      CHP       PV        MT        
0         0.00      0.00      496.44    
1         95.68     0.00      500.00    
2         46.04     0.00      500.00    
3         10.47     0.00      500.00    
4         0.00      0.00      411.86    
5         0.00      0.37      477.14    
6         0.00      10.05     447.46    
7         0.00      35.81     0.00      
8         0.00      71.57     0.00      
9         0.00      103.32    0.00      
10        0.00      127.59    0.00      
11        0.00      143.21    0.00      
12        0.00      149.98    0.00      
13        0.00      148.41    0.00      
14        0.00      138.65    0.00      
15        0.00      120.64    0.00      
16        0.00      92.29     0.00      
17        0.00      57.45     165.99    
18        0.00      28.10     130.80    
19        200.00    7.27      15.56     
20        200.00    0.00      0.00      
21        100.00    0.00      0.00      
22        30.00     0.00      0.00      
23        104.43    0.00      500.00    
