Time      CHP       MT        WT        
0         0.00      254.94    103.56    
1         0.00      465.58    104.32    
2         0.00      0.00      103.96    
3         0.00      352.47    99.28     
4         0.00      433.48    88.14     
5         0.00      67.52     72.48     
6         193.33    500.00    42.48     
7         400.00    500.00    38.91     
8         400.00    500.00    39.04     
9         400.00    500.00    33.70     
10        347.48    500.00    22.04     
11        292.15    500.00    14.64     
12        0.00      297.92    10.58     
13        0.00      369.06    9.19      
14        341.80    500.00    13.94     
15        400.00    500.00    24.64     
16        389.77    500.00    30.62     
17        389.02    500.00    39.06     
18        330.27    500.00    53.60     
19        350.04    500.00    78.42     
20        16.67     500.00    112.08    
21        0.00      478.91    139.59    
22        282.27    500.00    157.73    
23        0.00      413.87    144.13    
