Time      CHP       PV        FC        
0         250.00    0.00      300.00    
1         0.00      0.00      50.00     
2         259.75    0.00      300.00    
3         0.00      0.00      0.00      
4         0.00      0.00      0.00      
5         0.00      0.37      0.00      
6         0.00      10.05     0.00      
7         0.00      35.81     95.79     
8         0.00      71.57     58.43     
9         0.00      103.32    164.68    
10        54.40     127.59    88.01     
11        0.00      143.21    242.79    
12        0.00      149.98    10.02     
13        0.00      148.41    27.59     
14        100.00    138.65    234.03    
15        0.00      120.64    249.36    
16        100.00    92.29     154.11    
17        100.00    57.45     158.95    
18        130.00    28.10     128.30    
19        200.00    7.27      72.73     
20        200.00    0.00      22.80     
21        0.00      0.00      136.00    
22        0.00      0.00      0.00      
23        0.00      0.00      103.63    
