Time      H_CHP1_DN      H_CHP2_DN      H_GB1_DN       H_GB2_DN       
0         300.00         300.00         700.00         700.00         
1         0.00           0.00           700.00         667.50         
2         0.00           0.00           700.00         475.83         
3         0.00           0.00           685.00         0.00           
4         0.00           0.00           27.50          700.00         
5         0.00           0.00           160.50         700.00         
6         300.00         300.00         700.00         700.00         
7         257.98         300.00         700.00         700.00         
8         42.50          300.00         700.00         700.00         
9         300.00         300.00         700.00         700.00         
10        300.00         300.00         700.00         700.00         
11        300.00         300.00         700.00         700.00         
12        300.00         300.00         700.00         700.00         
13        300.00         300.00         700.00         700.00         
14        300.00         237.07         700.00         700.00         
15        0.00           300.00         700.00         700.00         
16        300.00         300.00         700.00         700.00         
17        300.00         300.00         700.00         700.00         
18        300.00         300.00         700.00         700.00         
19        300.00         300.00         700.00         700.00         
20        300.00         300.00         700.00         700.00         
21        300.00         300.00         700.00         700.00         
22        300.00         289.77         700.00         700.00         
23        300.00         190.00         700.00         700.00         
