Time      H_CHP_MG1      H_GB1_MG1      H_GB2_MG1      
0         0.00           400.00         100.00         
1         95.68          304.32         0.00           
2         46.04          253.96         0.00           
3         10.47          189.53         0.00           
4         0.00           200.00         0.00           
5         0.00           200.00         0.00           
6         0.00           300.00         0.00           
7         0.00           85.00          400.00         
8         0.00           400.00         144.39         
9         0.00           400.00         332.98         
10        0.00           255.37         400.00         
11        0.00           260.16         400.00         
12        0.00           400.00         300.00         
13        0.00           400.00         174.90         
14        0.00           337.41         400.00         
15        0.00           120.14         400.00         
16        0.00           400.00         400.00         
17        0.00           400.00         400.00         
18        0.00           400.00         400.00         
19        200.00         400.00         400.00         
20        200.00         400.00         400.00         
21        100.00         400.00         400.00         
22        30.00          400.00         400.00         
23        104.43         400.00         400.00         
